Datetime,RWY 09 (BEG),RWY 10 (TDZ),RWY 11 (BEG),RWY 11 (TDZ),RWY 27 (MID),RWY 28 (MID),RWY 28 (BEG),RWY 28 (TDZ),RWY 29 (BEG),RWY 09 (TDZ),RWY 29 (MID),RWY_09_BEG_predicted,RWY_09_TDZ_predicted,RWY_10_TDZ_predicted,RWY_11_BEG_predicted,RWY_11_TDZ_predicted,RWY_27_MID_predicted,RWY_28_BEG_predicted,RWY_28_MID_predicted,RWY_28_TDZ_predicted,RWY_29_BEG_predicted,RWY_29_MID_predicted
2024-02-16 04:50:00,2632.45,3333.0,3333.0,711.0877192982456,3131.383333333333,3333.0,3333.0,1689.05,2980.5,3333.0,3333.0,2695.1143,3331.292,3325.9158,3330.0503,818.4158,2974.5537,3331.065,3331.0073,1678.217,2872.4253,3329.898
2024-02-16 05:00:00,2612.733333333333,3333.0,,691.5,3189.083333333333,,3333.0,1674.75,3215.116666666667,3333.0,3333.0,2575.8577,3331.292,3329.792,3330.0503,706.95856,3184.0408,3331.065,3331.0073,1737.7035,3138.1174,3329.898
2024-02-16 05:10:00,2660.05,3333.0,,,3283.25,,3333.0,1681.7833333333333,3333.0,3333.0,3333.0,2567.644,3331.292,3329.792,,725.68494,3182.1528,3331.065,,1657.4128,3251.1897,3329.898
2024-02-16 05:20:00,2698.633333333333,3333.0,,670.5,3333.0,,3333.0,1891.7,3324.1,3333.0,3333.0,2660.0469,3331.292,3329.792,,,3239.529,3331.065,,1731.2476,3315.8142,3329.898
2024-02-16 05:30:00,2865.5333333333333,3333.0,,643.5,3333.0,,3333.0,1924.8666666666663,3279.2166666666667,3333.0,3333.0,2701.6003,3331.292,3329.792,,,3314.5981,3331.065,,1965.7668,3250.5999,3329.898
2024-02-16 05:40:00,2751.95,3333.0,3333.0,,3333.0,,3333.0,1956.5333333333333,3251.133333333333,3333.0,3333.0,2911.0273,3331.292,3329.792,,,3310.7888,3331.065,,1953.6879,3223.8203,3329.898
2024-02-16 05:50:00,2561.116666666667,3333.0,,592.0,3333.0,,3333.0,1985.9833333333331,3308.4576271186443,3333.0,3333.0,2748.0044,3331.292,3329.792,,,3329.5098,3331.065,,2013.1771,3226.786,3329.898
2024-02-16 06:00:00,2626.6,3333.0,,557.0,3333.0,,3333.0,1918.45,3311.2,3333.0,3333.0,2563.9573,3331.292,3329.792,,,3329.5098,3331.065,,2017.8036,3253.2961,3329.898
2024-02-16 06:10:00,2477.2033898305085,3333.0,,,3333.0,,3333.0,2206.233333333333,2915.0666666666666,3333.0,3333.0,2660.6594,3331.292,3329.792,,,3329.5098,3331.065,,1913.9332,3274.183,3329.898
2024-02-16 06:20:00,2718.383333333333,3333.0,,529.0,3333.0,,3333.0,2223.9666666666667,2091.7,3333.0,3333.0,2409.4717,3331.292,3329.792,,,3329.5098,3331.065,,2326.94,2847.8477,3329.898
2024-02-16 06:30:00,2648.55,3333.0,3333.0,,3333.0,,3333.0,2491.383333333333,1942.8333333333333,3333.0,3333.0,2824.15,3331.292,3329.792,,,3329.5098,3331.065,,2265.1104,1922.182,3329.898
2024-02-16 06:40:00,2897.5,3333.0,,,3333.0,,3333.0,2482.15,1907.7666666666669,3333.0,3333.0,2646.833,3331.292,3329.792,,,3329.5098,3331.065,,2614.4849,1802.867,3329.898
2024-02-16 06:50:00,2515.133333333333,3333.0,,513.5,3333.0,,3333.0,2441.483333333333,1669.45,3333.0,3333.0,2983.7004,3331.292,3329.792,,,3329.5098,3331.065,,2503.9895,1868.2693,3329.898
2024-02-16 07:00:00,2081.0333333333333,3333.0,,500.1666666666667,3333.0,,3333.0,2392.833333333333,873.9272727272727,3333.0,3333.0,2422.568,3331.292,3329.792,,,3329.5098,3331.065,,2456.37,1643.5098,3329.898
2024-02-16 07:10:00,1952.9166666666667,3333.0,,,3333.0,,3333.0,2362.898305084746,3236.5254237288136,3333.0,3333.0,2055.8625,3331.292,3329.792,,,3329.5098,3331.065,,2352.2834,1904.8774,3329.898
2024-02-16 07:20:00,1748.1333333333334,3333.0,3333.0,1980.9782608695648,3333.0,3333.0,3333.0,2383.333333333333,3333.0,3333.0,3333.0,1957.923,3331.292,3329.792,,,3329.5098,3331.065,,2354.6406,3356.9663,3329.898
2024-02-16 07:30:00,1783.7,3331.233333333333,3333.0,2850.9491525423728,3333.0,3333.0,3333.0,2490.2,3333.0,3333.0,3333.0,1678.6526,3331.292,3329.792,,,3329.5098,3331.065,,2369.3215,3361.3862,3329.898
2024-02-16 07:40:00,1651.1166666666666,3326.4166666666665,3333.0,2433.9827586206898,3333.0,3333.0,3333.0,2648.233333333333,3333.0,3333.0,3333.0,1811.7727,3331.292,3255.8215,,,3329.5098,3331.065,,2532.0115,3326.1133,3329.898
2024-02-16 07:50:00,1550.65,3333.0,3333.0,2476.898305084746,3333.0,3333.0,3333.0,2568.6666666666665,3333.0,3333.0,3333.0,1608.9766,3331.292,3287.8506,3330.0503,2264.1128,3329.5098,3331.065,3331.0073,2713.9885,3329.1572,3329.898
2024-02-16 08:00:00,1579.1333333333334,3333.0,3333.0,2163.9821428571427,3333.0,3333.0,3333.0,2879.383333333333,3333.0,3333.0,3333.0,1550.0269,3331.292,3323.3528,3330.0503,2488.0186,3329.5098,3331.065,3331.0073,2576.434,3329.1572,3329.898
2024-02-16 08:10:00,1542.1,3333.0,3333.0,3147.983050847457,3333.0,3333.0,3333.0,2804.4,3333.0,3333.0,3333.0,1611.9648,3331.292,3325.9158,3330.0503,2175.8027,3329.5098,3331.065,3331.0073,2963.8755,3329.1572,3329.898
